OMRÅDE;BEVOKSNING;TID;INDHOLD
Gentofte;Skovareal i alt;2000;124,5
Gentofte;Hjælpearealer;1990;6,9
Gentofte;Hjælpearealer;2000;4,5
Gentofte;Skovbevokset areal i alt;1990;134,6
Gentofte;Skovbevokset areal i alt;2000;120,0
Gentofte;Midlertidig ubevokset;1990;11,0
Gentofte;Midlertidig ubevokset;2000;2,1
Gentofte;Løvtræer, areal i alt;1990;123,4
Gentofte;Løvtræer, areal i alt;2000;117,7
Gentofte;Bøg;1990;71,2
Gentofte;Bøg;2000;73,2
Gentofte;Eg;1990;32,3
Gentofte;Eg;2000;30,8
Gentofte;Ask;1990;5,3
Gentofte;Ask;2000;5,9
Gentofte;Ær (Ahorn);1990;3,5
Gentofte;Ær (Ahorn);2000;3,2
Gentofte;Andre løvtræarter;1990;11,1
Gentofte;Andre løvtræarter;2000;4,6
Gentofte;Nåletræer i alt;1990;0,2
Gentofte;Nåletræer i alt;2000;0,2
Gentofte;Rødgran;1990;0,0
Gentofte;Rødgran;2000;0,0
Gentofte;Sitkagran mv.;1990;0,0
Gentofte;Sitkagran mv.;2000;0,0
Gentofte;Nobilis;1990;0,0
Gentofte;Nobilis;2000;0,0
Gentofte;Nordmannsgran;1990;0,0
Gentofte;Nordmannsgran;2000;0,0
Gentofte;Andre ædelgranarter;1990;0,0
Gentofte;Andre ædelgranarter;2000;0,0
Gentofte;Andre nåletræarter;1990;0,2
Gentofte;Andre nåletræarter;2000;0,2
Gladsaxe;Skovareal i alt;1990;162,8
Gladsaxe;Skovareal i alt;2000;134,3
Gladsaxe;Hjælpearealer;1990;14,7
Gladsaxe;Hjælpearealer;2000;3,5
Gladsaxe;Skovbevokset areal i alt;1990;148,1
Gladsaxe;Skovbevokset areal i alt;2000;130,8
Gladsaxe;Midlertidig ubevokset;1990;18,6
Gladsaxe;Midlertidig ubevokset;2000;0,0
Gladsaxe;Løvtræer, areal i alt;1990;97,2
Gladsaxe;Løvtræer, areal i alt;2000;98,9
Gladsaxe;Bøg;1990;68,2
Gladsaxe;Bøg;2000;70,5
Gladsaxe;Eg;1990;8,7
Gladsaxe;Eg;2000;9,6
Gladsaxe;Ask;1990;0,0
Gladsaxe;Ask;2000;0,0
Gladsaxe;Ær (Ahorn);1990;8,1
Gladsaxe;Ær (Ahorn);2000;10,9
Gladsaxe;Andre løvtræarter;1990;12,2
Gladsaxe;Andre løvtræarter;2000;7,9
Gladsaxe;Nåletræer i alt;1990;32,3
Gladsaxe;Nåletræer i alt;2000;31,9
Gladsaxe;Rødgran;1990;24,5
